,Unnamed: 0,Title,Price,Location,Rooms,Area,Floor
2728,2728,2-комнатная квартира · 83 м² · 18/20 этаж,76000000,"Бостандыкский р-н, Гагарина 310",2,83.0,18
2729,2729,3-комнатная квартира · 101.1 м² · 3/20 этаж,82000000,"Бостандыкский р-н, Абая 164/7 — Брусиловского",3,101.1,3
2730,2730,2-комнатная квартира · 47 м² · 6/9 этаж,25500000,"Алатауский р-н, мкр Аккент, Мкр. Аккент",2,47.0,6
2731,2731,3-комнатная квартира · 67 м² · 3/12 этаж,53000000,"Наурызбайский р-н, мкр Каргалы 54",3,67.0,3
2732,2732,3-комнатная квартира · 66 м² · 1/5 этаж,39000000,"Жетысуский р-н, мкр Кулагер",3,66.0,1
2733,2733,1-комнатная квартира · 30.4 м² · 1/2 этаж,12500000,"Турксибский р-н, Суюнбая 168 — Суюнбая - бекмаханова",1,30.4,1
2734,2734,1-комнатная квартира · 12 м² · 1/4 этаж,10900000,"Ауэзовский р-н, мкр №6 55 — По Абая ( район Фемели парка)",1,12.0,1
2735,2735,2-комнатная квартира · 53 м² · 5/5 этаж,27000000,Жулдыз - 1,2,53.0,5
2736,2736,3-комнатная квартира · 121 м² · 19/19 этаж,87120000,"Бостандыкский р-н, Жарокова 218",3,121.0,19
2737,2737,2-комнатная квартира · 87.9 м² · 11/19 этаж,74715000,"Бостандыкский р-н, Жарокова 218",2,87.9,11
2738,2738,2-комнатная квартира · 59.7 м² · 2/12 этаж,39500000,"Наурызбайский р-н, Абишева 36/6",2,59.7,2
2739,2739,3-комнатная квартира · 63.6 м² · 2/3 этаж,32500000,"Турксибский р-н, Бекмаханова 2/2",3,63.6,2
2740,2740,1-комнатная квартира · 42.6 м² · 9/9 этаж,27000000,"Ауэзовский р-н, мкр Жетысу-2, Жетысу 2 дом 54 54 — Абая-Саина",1,42.6,9
2741,2741,3-комнатная квартира · 76 м² · 12/13 этаж,47500000,"Алатауский р-н, Бауыржана Момышулы 11/1",3,76.0,12
2742,2742,4-комнатная квартира · 90 м² · 2/5 этаж,70000000,"Медеуский р-н, Достык 89 — Сатпаева",4,90.0,2
2743,2743,3-комнатная квартира · 72 м² · 1/9 этаж,37000000,"Ауэзовский р-н, Аксай 1 — Толеби / Момышулы",3,72.0,1
2744,2744,3-комнатная квартира · 121 м² · 8/10 этаж,73000000,"Ауэзовский р-н, Алтынсарина 40г — По ул.Куаншбаева между ул.Алтынсарина и ул.Утеген Батыра",3,121.0,8
2745,2745,2-комнатная квартира · 86 м² · 5/21 этаж,50000000,"Алмалинский р-н, мкр Тастак-2",2,86.0,5
