Title,Price,Location,Rooms,Area,Floor,Price_per_m2,Segment,FloorCategory,AreaCategory
Отдельный дом · 2 комнаты · 46 м² · 10 сот.,8500000.0,"Ульбинский, Подгорное 24 — Посёлок жыланды",2,46.0,1,184782.60869565216,комфорт,низкий,малая
Отдельный дом · 6 комнат · 220 м² · 4 сот.,35000000.0,"Каратауский р-н, Шынырау б/н — Пахтакор 2, мирас стадион",6,220.0,1,159090.9090909091,комфорт,низкий,большая
Отдельный дом · 6 комнат · 80 м² · 7 сот.,25000000.0,Абылай хана 4/4,6,80.0,1,312500.0,комфорт,низкий,средняя
Отдельный дом · 6 комнат · 230 м² · 6 сот.,36500000.0,Алатау 2707/18 — Участок д.2707/18,6,230.0,1,158695.65217391305,комфорт,низкий,большая
Отдельный дом · 1 комната · 44.72 м² · 832 сот.,10000000.0,Сабит Ташпанов 47 — Жанаталап,1,44.72,1,223613.59570661897,комфорт,низкий,малая
Отдельный дом · 3 комнаты · 70 м² · 15 сот.,14500000.0,Станиславского 4,3,70.0,1,207142.85714285713,комфорт,низкий,средняя
Отдельный дом · 5 комнат · 150 м² · 8 сот.,45000000.0,"Абайский р-н, мкр Самал-3",5,150.0,1,300000.0,комфорт,низкий,большая
Отдельный дом · 4 комнаты · 130 м² · 6 сот.,66000000.0,"Наурызбайский р-н, мкр Тастыбулак 39",4,130.0,1,507692.3076923077,элит,низкий,большая
Отдельный дом · 9 комнат · 840 м² · 12 сот.,700000000.0,"Алматы р-н, Райымбек батыр 88/1",9,840.0,1,833333.3333333334,элит,низкий,большая
Дача · 3 комнаты · 50 м² · 6 сот.,5000000.0,"Ульбинский, Мичуринец1 5/1 — ул. Сибинская",3,50.0,1,100000.0,комфорт,низкий,малая
Отдельный дом · 5 комнат · 180 м² · 10 сот.,24000000.0,Жазык 1,5,180.0,1,133333.33333333334,комфорт,низкий,большая
2-комнатный дом · 203.17 м²,180821300.0,"Наурызбайский р-н, Талжанова 1А",0,203.17,1,890000.0,элит,низкий,большая
Отдельный дом · 4 комнаты · 375 м² · 5 сот.,170000000.0,"Медеуский р-н, Сырдарьинская 72",4,375.0,1,453333.3333333333,комфорт,низкий,большая
Отдельный дом · 4 комнаты · 122 м² · 4.5 сот.,47700000.0,Исатай батыра 45/1,4,122.0,1,390983.60655737703,комфорт,низкий,большая
Отдельный дом · 5 комнат · 200 м² · 8 сот.,80000000.0,"мкр Водник-2, Ардагер 3 — Сары арка",5,200.0,1,400000.0,комфорт,низкий,большая
Отдельный дом · 5 комнат · 240 м² · 15 сот.,80000000.0,Баймаханова 64,5,240.0,1,333333.3333333333,комфорт,низкий,большая
Отдельный дом · 5 комнат · 170 м² · 6.4 сот.,35000000.0,Дача новь 165/1 — Жайык 2 карьера,5,170.0,1,205882.35294117648,комфорт,низкий,большая
Отдельный дом · 3 комнаты · 75 м² · 4.7 сот.,15000000.0,Актобе 56 — Р.н 31школы,3,75.0,1,200000.0,комфорт,низкий,средняя
5-комнатный дом · 229.8 м²,181542000.0,"Талгарский район, поселок Каменное плато, территория PARK RESORT «ВОСЕМЬ ОЗЕР»",0,229.8,1,790000.0,элит,низкий,большая
