Unnamed: 0.1,Unnamed: 0,Title,Price,Location,Rooms,Area,Floor,Price_per_m2,Segment,FloorCategory,AreaCategory
102,102,Садик.Готовый бизнес. · 1500 м²,495000000.0,Абая 3,1,1500.0,1,330000.0,комфорт,низкий,большая
103,103,Действующий лаундж бар · 250 м²,10500000.0,"Медеуский р-н, Кажымукана 12/2",1,250.0,1,42000.0,комфорт,низкий,большая
104,104,Раскрученное караоке · 750 м²,50000000.0,"р-н Байконур, Абая 63",1,750.0,1,66666.66666666667,комфорт,низкий,большая
105,105,Учебно-образовательный центр · 81 м²,45000000.0,"Алматы р-н, Кенен Азербаева 8",1,81.0,1,555555.5555555555,элит,низкий,средняя
106,106,Готовый бар · 500 м²,60000000.0,"Медеуский р-н, Достык 132",1,500.0,1,120000.0,комфорт,низкий,большая
107,107,Общежитие действующее · 416 м²,83000000.0,"Ауэзовский р-н, мкр Алтын Бесик 51",1,416.0,1,199519.23076923078,комфорт,низкий,большая
108,108,Магазин мелкой электроники · 30 м²,5000000.0,"Нура р-н, Кайым Мухамедханов 17",1,30.0,1,166666.66666666666,комфорт,низкий,малая
109,109,TEEZ ПВЗ продется · 32 м²,14650000.0,"Казыбек би р-н, мкр Юго-Восток, Мкр Юго-Восток, мкр Степной 3 7/2",1,32.0,1,457812.5,комфорт,низкий,малая
110,110,Готовый бизнес мужской одежды и обуви · 137 м²,15000000.0,"Казыбек би р-н, мкр Новый Город, Бухар-Жырау 55/7",1,137.0,1,109489.05109489051,комфорт,низкий,большая
111,111,Ресторанный комплекс · 4725 м²,600000000.0,ул коктем 70/6,1,4725.0,1,126984.12698412698,комфорт,низкий,большая
112,112,Общепит и Магазин у ДОМА. · 160 м²,88000000.0,"Нура р-н, Култегин 14",1,160.0,1,550000.0,элит,низкий,большая
113,113,Аптеку · 58 м²,33000000.0,Казахстан 98/1,1,58.0,1,568965.5172413794,элит,низкий,средняя
114,114,Бар -готовый бизнес · 170 м²,6000000.0,"Алмалинский р-н, Наурызбай батыра 85",1,170.0,1,35294.117647058825,комфорт,низкий,большая
115,115,Готовый бизнес · 65 м²,50000000.0,Несмиянова 10/12,1,65.0,1,769230.7692307692,элит,низкий,средняя
116,116,Готовый бизнес туристический · 1250 м²,28000000.0,Ултаракова 1А,1,1250.0,1,22400.0,комфорт,низкий,большая
117,117,Действующий бизнес · 39 м²,5000000.0,"Каратауский р-н, мкр Нурсат 7/1",1,39.0,1,128205.1282051282,комфорт,низкий,малая
118,118,Готовые бизнесы · 4000 м²,550000000.0,Блетова 39 39А,1,4000.0,1,137500.0,комфорт,низкий,большая
119,119,Детский сад с госзаказом · 420 м²,120000000.0,Абыза 45,1,420.0,1,285714.28571428574,комфорт,низкий,большая
120,120,Мебельный цех под ключ. · 1000 м²,150000000.0,Алтынсарина 214/6,1,1000.0,1,150000.0,комфорт,низкий,большая
121,121,Продуктовый магазин · 213 м²,110000000.0,Шокана уалиханова 66,1,213.0,1,516431.92488262913,элит,низкий,большая
122,122,Лаундж бар в центре города с лояльной клиентской базой! · 120 м²,22000000.0,"Бостандыкский р-н, Сатпаева 133/9 9",1,120.0,1,183333.33333333334,комфорт,низкий,большая
123,123,Отдых · 17500 м²,330000000.0,Трасса Алматы - Колжат 53 км 1,1,17500.0,1,18857.14285714286,комфорт,низкий,большая
124,124,Бутик с товаром ЦУМ · 35 м²,11200000.0,Таукехана Кунаева 16,1,35.0,1,320000.0,комфорт,низкий,малая
125,125,"Дом для бизнеса рядом с СДУ!! 2 этажа, 9 комнат · 600 м²",58000000.0,9-ый квартал жоқ,1,600.0,1,96666.66666666667,комфорт,низкий,большая
126,126,Бизнес квартиры под аренду · 225 м²,66000000.0,Южная 77,1,225.0,1,293333.3333333333,комфорт,низкий,большая
127,127,Прдается зона отдыха с 1.2 га земли · 100 м²,220000000.0,"Талгарский р-н, Абая Кунанбаева 77",1,100.0,1,2200000.0,элит,низкий,средняя
128,128,Оборудование по производству пенопласта · 500 м²,35000000.0,Пр. Индустриальный 27,1,500.0,1,70000.0,комфорт,низкий,большая
129,129,Бизнес · 81 м²,55000000.0,"Нура р-н, Е 509 7",1,81.0,1,679012.3456790124,элит,низкий,средняя
130,130,Кафе · 160 м²,18000000.0,"Жетысуский р-н, мкр Кокжиек, Талант 35/2",1,160.0,1,112500.0,комфорт,низкий,большая
131,131,Офлайн магазин косметики · 34 м²,39000000.0,"Нура р-н, Сыганак 32",1,34.0,1,1147058.8235294118,элит,низкий,малая
132,132,Свинокомплекс · 50000 м²,4950000000.0,П. Даулет 1,1,50000.0,1,99000.0,комфорт,низкий,большая
133,133,Минимаркет · 139 м²,35000000.0,"Алматы р-н, Кенесары 70 70",1,139.0,1,251798.56115107914,комфорт,низкий,большая
134,134,Действующий бизнес в г. Астана · 250 м²,25000000.0,Ауэзова 8,1,250.0,1,100000.0,комфорт,низкий,большая
135,135,Крупный фулфилмент центр · 650 м²,80000000.0,"Ауэзовский р-н, Баянауыл 1А",1,650.0,1,123076.92307692308,комфорт,низкий,большая
136,136,Действующий бизнес · 54 м²,12600000.0,"р-н Байконур, Гоголя 15а",1,54.0,1,233333.33333333334,комфорт,низкий,средняя
137,137,Бутик мужской одежды · 55 м²,30000000.0,Биржан сала 46,1,55.0,1,545454.5454545454,элит,низкий,средняя
138,138,Клиники косметологии · 170 м²,12000000.0,"Бостандыкский р-н, Кожабекова 19",1,170.0,1,70588.23529411765,комфорт,низкий,большая
139,139,Текеде кірген жерде жолдың боиында Ағаш базары сатылады · 10000 м²,50000000.0,Теке Абдулла Үсенов 10,1,10000.0,1,5000.0,комфорт,низкий,большая
140,140,Бизнес · 68 м²,3000000.0,Кутузова 30,1,68.0,1,44117.64705882353,комфорт,низкий,средняя
141,141,Готовый бизнес · 342 м²,39000000.0,Кулагер 6,1,342.0,1,114035.08771929824,комфорт,низкий,большая
142,142,Бизнес · 1008 м²,240000000.0,3-й Северный квартал 7,1,1008.0,1,238095.2380952381,комфорт,низкий,большая
143,143,Для суточной аренды жилой 40тонник · 30 м²,8500000.0,"Алатауский р-н, мкр 6-й градокомплекс, Мкр 6-й градокомплекс 56",1,30.0,1,283333.3333333333,комфорт,низкий,малая
144,144,Коммерческое помещение · 44 м²,42000000.0,"Аль-Фарабийский р-н, Туркестанская 2/1",1,44.0,1,954545.4545454546,элит,низкий,малая
