Unnamed: 0.1,Unnamed: 0,Title,Price,Location,Rooms,Area,Floor,District,Street,Price_per_m2,Segment,FloorCategory,AreaCategory
2552,2552,3-комнатная квартира · 94 м² · 13 этаж,90000000,"Бостандыкский р-н, Аль-Фараби 41",3,94.0,0,Бостандыкский р-н,Аль-Фараби 41,957446.8085106383,элит,низкий,большая
2553,2553,2-комнатная квартира · 60 м² · 9/10 этаж,39500000,"Ауэзовский р-н, мкр Жетысу-4 — Абая - Момышулы",2,60.0,9,Ауэзовский р-н,мкр Жетысу-4 — Абая - Момышулы,658333.3333333334,комфорт,высокий,средняя
2554,2554,3-комнатная квартира · 85 м² · 3/13 этаж,78000000,"Алмалинский р-н, Макатаева 131 — Муратбаева",3,85.0,3,Алмалинский р-н,Макатаева 131 — Муратбаева,917647.0588235294,элит,низкий,большая
2555,2555,1-комнатная квартира · 31 м² · 4/9 этаж,19500000,"Наурызбайский р-н, мкр Шугыла, Жунисова",1,31.0,4,Наурызбайский р-н,"мкр Шугыла, Жунисова",629032.2580645161,комфорт,средний,малая
2556,2556,1-комнатная квартира · 50 м² · 13/16 этаж,50500000,"Бостандыкский р-н, Сатпаева 90/55 — АДК (Тлендиева)",1,50.0,13,Бостандыкский р-н,Сатпаева 90/55 — АДК (Тлендиева),1010000.0,элит,высокий,средняя
2557,2557,3-комнатная квартира · 121 м² · 6/6 этаж,114000000,"Медеуский р-н, Медеуский район, Жамакаева 258/31",3,121.0,6,Медеуский р-н,"Медеуский район, Жамакаева 258/31",942148.7603305785,элит,средний,большая
2558,2558,1-комнатная квартира · 39 м² · 1/6 этаж,23000000,"Жетысуский р-н, мкр Кокжиек",1,39.0,1,Жетысуский р-н,мкр Кокжиек,589743.5897435897,комфорт,низкий,малая
2559,2559,2-комнатная квартира · 63.5 м² · 3/5 этаж,35900000,"Алатауский р-н, мкр Саялы 80",2,63.5,3,Алатауский р-н,мкр Саялы 80,565354.3307086615,комфорт,низкий,средняя
2560,2560,3-комнатная квартира · 90 м² · 14/16 этаж,65000000,"Бостандыкский р-н, мкр Орбита-3, Торайгырова 19а",3,90.0,14,Бостандыкский р-н,"мкр Орбита-3, Торайгырова 19а",722222.2222222222,элит,высокий,большая
2561,2561,3-комнатная квартира · 92 м² · 1/5 этаж,99700000,"Медеуский р-н, Зенкова — Шевченка Достык",3,92.0,1,Медеуский р-н,Зенкова — Шевченка Достык,1083695.652173913,элит,низкий,большая
2562,2562,2-комнатная квартира · 43.3 м² · 5/5 этаж,28500000,"Алмалинский р-н, тастак-1 — Фурката",2,43.3,5,Алмалинский р-н,тастак-1 — Фурката,658198.6143187068,комфорт,средний,малая
2563,2563,3-комнатная квартира · 80.65 м² · 6/13 этаж,49500000,"Алмалинский р-н, Муратбаева 14 — Муратбаева Макатаева",3,80.65,6,Алмалинский р-н,Муратбаева 14 — Муратбаева Макатаева,613763.1742095473,комфорт,средний,большая
2564,2564,3-комнатная квартира · 63 м² · 5/5 этаж,35500000,"Алмалинский р-н, Клочкова 20",3,63.0,5,Алмалинский р-н,Клочкова 20,563492.0634920635,комфорт,средний,средняя
2565,2565,1-комнатная квартира · 42.6 м²,26000000,"Ауэзовский р-н, Мкр Аксай, Б. Момышулы 25 — Рынок «Арыстан»",1,42.6,0,Ауэзовский р-н,"Мкр Аксай, Б. Момышулы 25 — Рынок «Арыстан»",610328.6384976526,комфорт,низкий,малая
2566,2566,1-комнатная квартира · 40 м² · 6/6 этаж,17400000,"Жетысуский р-н, мкр Кокжиек",1,40.0,6,Жетысуский р-н,мкр Кокжиек,435000.0,комфорт,средний,малая
2567,2567,4-комнатная квартира · 82 м² · 3/5 этаж,74000000,"Алмалинский р-н, проспект Назарбаева — ЛУЧШЕЕ ПРЕДЛОЖЕНИЕ",4,82.0,3,Алмалинский р-н,проспект Назарбаева — ЛУЧШЕЕ ПРЕДЛОЖЕНИЕ,902439.0243902439,элит,низкий,большая
2568,2568,4-комнатная квартира · 173.5 м² · 1/5 этаж,171000000,"Медеуский р-н, Омаровой 25",4,173.5,1,Медеуский р-н,Омаровой 25,985590.7780979828,элит,низкий,большая
2569,2569,3-комнатная квартира · 118 м² · 12/15 этаж,95000000,"Бостандыкский р-н, Хусаинова 225",3,118.0,12,Бостандыкский р-н,Хусаинова 225,805084.7457627119,элит,высокий,большая
2570,2570,2-комнатная квартира · 36 м² · 3/4 этаж,21000000,"Ауэзовский р-н, мкр №7 — Абая Правды",2,36.0,3,Ауэзовский р-н,мкр №7 — Абая Правды,583333.3333333334,комфорт,низкий,малая
